"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.cactorum","GLM","no",0.0785,0.725,0.8665,0.161,0.155666666666667,0.437,0.083,0.0603333333333333,0.00833333333333333,0.0946666666666667
"Phytophthora.cactorum","GAM","yes",0.1195,0.8115,0.916,0.166030534351145,0.178435114503817,0.469147582697201,0.162849872773537,0.0133587786259542,0.00413486005089059,0.00604325699745547
"Phytophthora.cactorum","ANN","no",0.0945,0.638,0.8295,0.123011928429423,0.232355864811133,0.381709741550696,0.0601391650099404,0.105119284294235,0.0688369781312127,0.0288270377733598
"Phytophthora.cactorum","GBM","yes",0.121,0.7615,0.9105,0.184609250398724,0.0271132376395534,0.580940988835726,0.159090909090909,0.016347687400319,0.0203349282296651,0.0115629984051037
"Phytophthora.cactorum","MARS","yes",0.1385,0.7735,0.9205,0.19811320754717,0.0683962264150943,0.502695417789757,0.220687331536388,0.00539083557951483,0.00471698113207547,0
"Phytophthora.cactorum","RF","no",0.187,0.595,0.819,0.158483530142946,0.137507768800497,0.180702299564947,0.142635177128651,0.1047234307023,0.158017402113114,0.117930391547545
"Phytophthora.cactorum","MAXENT.Phillips","yes",0.1015,0.8035,0.9145,0.0614296351451973,0.139612807148176,0.542442293373045,0.190618019359643,0.0290394638868206,0.0230826507818317,0.0137751303052867
"Phytophthora.cactorum","Ensemble","no",0.13,0.7925,0.917,0.151718412914757,0.104930221446985,0.523107020553271,0.183226548738832,0.0161245820203555,0.0130272957419206,0.00786591858387917
