"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.gonapodyides","GLM","yes",0.122,0.5135,0.782,0.297060114085125,0.3505923650724,0.143483984203598,0.0912681000438789,0.0100921456779289,0.0535322509872751,0.0539710399297938
"Phytophthora.gonapodyides","GAM","yes",0.128,0.4905,0.7675,0.330137557315548,0.296790329303877,0.202167569820759,0.0300125052105044,0.0150062526052522,0.0408503543142976,0.0850354314297624
"Phytophthora.gonapodyides","ANN","no",0.063,0.495,0.743,0.200244498777506,0.296332518337408,0.215403422982885,0.0449877750611247,0.108557457212714,0.041320293398533,0.0931540342298289
"Phytophthora.gonapodyides","GBM","yes",0.0825,0.5095,0.782,0.422977846470891,0.156620298815044,0.122617207624936,0.0499742400824317,0.115919629057187,0.0360638845955693,0.0958268933539413
"Phytophthora.gonapodyides","MARS","yes",0.1355,0.491,0.784,0.318280503690838,0.409900130264872,0.0312635692574902,0.0690403821102909,0.0347372991749891,0.0486322188449848,0.088145896656535
"Phytophthora.gonapodyides","RF","no",0.0935,0.257,0.622,0.200643201715205,0.19278184741826,0.14025370734322,0.140789708772557,0.211720564588172,0.0519921386457031,0.061818831516884
"Phytophthora.gonapodyides","MAXENT.Phillips","yes",0.1375,0.5045,0.81,0.141294838145232,0.373140857392826,0.141294838145232,0.0870516185476815,0.100612423447069,0.0424321959755031,0.114173228346457
"Phytophthora.gonapodyides","Ensemble","no",0.151,0.521,0.786,0.301928667349294,0.316824792646164,0.128317793750591,0.0657096642780954,0.0555675234105602,0.0443148350725788,0.0873367234927169
