"","Method","predAll"
"1","Default",0.5
"2","Sens=Spec",0.62
"3","MaxSens+Spec",0.58
"4","MaxKappa",0.87
"5","MaxPCC",0.885
"6","PredPrev=Obs",0.86
"7","ObsPrev",0.0671641791044776
"8","MeanProb",0.141760914315515
"9","MinROCdist",0.58
"10","ReqSens",0.81
"11","ReqSpec",0.2
"12","Cost",0.9
