"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.cambivora","GLM","yes",0.219,0.548,0.841,0.31301247771836,0.29982174688057,0.117647058823529,0.103386809269162,0.137967914438503,0.0124777183600713,0.0156862745098039
"Phytophthora.cambivora","GAM","yes",0.196,0.577,0.852,0.304679376083189,0.302946273830156,0.130675909878683,0.0876949740034662,0.147660311958406,0.0117850953206239,0.0145580589254766
"Phytophthora.cambivora","ANN","no",0.1345,0.5305,0.8165,0.13341996967728,0.358024691358025,0.144682694390297,0.0586961230236084,0.179553822828677,0.0541477149664284,0.0714749837556855
"Phytophthora.cambivora","GBM","yes",0.332,0.556,0.8605,0.338715878508266,0.242983467896963,0.0680507497116494,0.0795847750865052,0.235294117647059,0.0222991157247213,0.0130718954248366
"Phytophthora.cambivora","MARS","yes",0.253,0.5605,0.846,0.116123970184386,0.380933699489996,0.0816006276971361,0.284032954099647,0.137308748528835,0,0
"Phytophthora.cambivora","RF","no",0.373,0.478,0.7525,0.172717095794019,0.172717095794019,0.121541660003198,0.140412601951063,0.189029265952343,0.0814009275547737,0.122181352950584
"Phytophthora.cambivora","MAXENT.Phillips","yes",0.3355,0.5425,0.8415,0.238546603475513,0.225908372827804,0.0652975250131648,0.167456556082148,0.131648235913639,0.0900473933649289,0.0810953133228015
"Phytophthora.cambivora","Ensemble","no",0.326,0.5475,0.855,0.262268636463388,0.291045171072015,0.0929841466303369,0.14423518637752,0.158049808928745,0.0268989974514145,0.024518053076581
