"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.ramorum","GLM","yes",0.485,0.8165,0.9475,0.297556142668428,0.461690885072655,0.196499339498018,0.011889035667107,0.00165125495376486,0.000330250990752972,0.0303830911492734
"Phytophthora.ramorum","GAM","yes",0.6515,0.8365,0.9565,0.257645968489342,0.385233240654927,0.308001235712079,0.00648748841519926,0.00803212851405623,0.0244053135619401,0.010194624652456
"Phytophthora.ramorum","ANN","yes",0.6675,0.819,0.955,0.187968315135945,0.33697281096125,0.21173196317705,0.0676514664953971,0.115606936416185,0.0408906015842432,0.0391779062299294
"Phytophthora.ramorum","GBM","yes",0.777,0.8375,0.964,0.401353276353276,0.363960113960114,0.152421652421652,0.0491452991452991,0.0245726495726496,0.0056980056980057,0.00284900284900285
"Phytophthora.ramorum","MARS","yes",0.6185,0.835,0.959,0.226931732933233,0.360090022505626,0.301575393848462,0.111402850712678,0,0,0
"Phytophthora.ramorum","RF","no",0.8235,0.8245,0.933,0.206342404113992,0.241268480822798,0.203556888793658,0.106063852581958,0.106706663809728,0.081851296335976,0.0542104135418899
"Phytophthora.ramorum","MAXENT.Phillips","no",0.7825,0.722,0.8835,0.203381642512077,0.198550724637681,0.23719806763285,0.104347826086957,0.153140096618357,0.0652173913043478,0.0381642512077295
"Phytophthora.ramorum","Ensemble","no",0.787,0.846,0.9655,0.274591110911223,0.381394790657673,0.234277189041354,0.0493958984486697,0.0297572204400305,0.0142227475444777,0.0163610429565721
