"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.lacustris","GLM","yes",0.067,0.496,0.7945,0.32706002034588,0.45676500508647,0.0671414038657172,0.00915564598168871,0.0732451678535097,0.0356052899287894,0.0310274669379451
"Phytophthora.lacustris","GAM","yes",0.075,0.5285,0.81,0.284386617100372,0.368959107806691,0.214684014869888,0.0218401486988848,0.0543680297397769,0.0297397769516729,0.0260223048327138
"Phytophthora.lacustris","ANN","no",0.096,0.477,0.7735,0.205924122540069,0.290728342462974,0.196997362548184,0.0393588963278555,0.141407993507811,0.0667478190302292,0.0588354635828769
"Phytophthora.lacustris","GBM","yes",0.102,0.582,0.8085,0.338019917984769,0.476859988283538,0.0538957234915056,0.0298769771528998,0.0538957234915056,0.0374926772114821,0.00995899238429994
"Phytophthora.lacustris","MARS","yes",0.086,0.557,0.801,0.441116751269036,0.416751269035533,0,0.033502538071066,0.0436548223350254,0.0406091370558376,0.0243654822335025
"Phytophthora.lacustris","RF","no",0.1445,0.307,0.639,0.152300070771408,0.153432413305025,0.12965322009908,0.153290870488323,0.146638358103326,0.115357395612173,0.149327671620665
"Phytophthora.lacustris","MAXENT.Phillips","yes",0.122,0.542,0.8215,0.263102170460561,0.400211752249868,0.0947591318157755,0.0566437268395977,0.0915828480677607,0.0301746956061408,0.0635256749602964
"Phytophthora.lacustris","Ensemble","no",0.086,0.5545,0.8145,0.331750543833936,0.42436816512732,0.0848232854157599,0.0306168668822442,0.0629769202506762,0.0348077650783039,0.0306564534117591
