"","Method","predAll"
"1","Default",0.5
"2","Sens=Spec",0.57
"3","MaxSens+Spec",0.45
"4","MaxKappa",0.88
"5","MaxPCC",0.91
"6","PredPrev=Obs",0.88
"7","ObsPrev",0.00744416873449132
"8","MeanProb",0.157078437195957
"9","MinROCdist",0.51
"10","ReqSens",0.52
"11","ReqSpec",0.64
"12","Cost",0.91
