"","Method","predAll"
"1","Default",0.5
"2","Sens=Spec",0.48
"3","MaxSens+Spec",0.44
"4","MaxKappa",0.9
"5","MaxPCC",0.98
"6","PredPrev=Obs",0.88
"7","ObsPrev",0.00700064544958046
"8","MeanProb",0.245540017018323
"9","MinROCdist",0.45
"10","ReqSens",0.41
"11","ReqSpec",0.61
"12","Cost",0.98
