"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.cryptogea","GLM","yes",0.1465,0.785,0.9315,0.268726906281491,0.151830702049043,0.496808867987907,0.0446758481692979,0.0309035942223715,0.0047027208599261,0.00235136042996305
"Phytophthora.cryptogea","GAM","yes",0.1545,0.7745,0.9265,0.268238292449825,0.179993628544122,0.460974832749283,0.0344058617394075,0.0356801529149411,0.0200700860146544,0.000637145587766805
"Phytophthora.cryptogea","ANN","no",0.115,0.664,0.8885,0.146184237887295,0.2131420253691,0.348513204408401,0.0151798710750676,0.144728633811603,0.0754834684965689,0.0567685589519651
"Phytophthora.cryptogea","GBM","yes",0.184,0.779,0.934,0.177268324184695,0.0778172424927349,0.518889247659025,0.181788827897966,0.0048433968356474,0.0368098159509202,0.00258314497901195
"Phytophthora.cryptogea","MARS","no",0.1495,0.784,0.904,0.179068360556564,0.153357531760436,0.444041137326074,0.147307924984876,0.0493042952208106,0.0269207501512402,0
"Phytophthora.cryptogea","RF","no",0.2435,0.5775,0.8195,0.202002695936838,0.197188523011747,0.182938571153476,0.141729250914693,0.0878105141536684,0.0758713652994416,0.112459079530137
"Phytophthora.cryptogea","MAXENT.Phillips","yes",0.2,0.802,0.9335,0.136586963642319,0.193252538486734,0.486079266295447,0.138552243694727,0.0186701604978709,0.0183426138224697,0.00851621356043236
"Phytophthora.cryptogea","Ensemble","no",0.185,0.795,0.936,0.212175114890743,0.150995170891298,0.490708570237273,0.100127456489653,0.0224932573639374,0.0199399905762711,0.00356043955082421
