"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.plurivora","GLM","yes",0.18,0.775,0.9225,0.267620751341682,0.172450805008945,0.485509838998211,0.0368515205724508,0.0132379248658318,0.0118067978533095,0.0125223613595707
"Phytophthora.plurivora","GAM","no",0.1645,0.7565,0.9135,0.299212598425197,0.153029784320438,0.460458747004451,0.0380006846970216,0.0143786374529271,0.0140362889421431,0.0208832591578227
"Phytophthora.plurivora","ANN","no",0.1815,0.691,0.8655,0.120989304812834,0.278743315508021,0.225267379679144,0.103609625668449,0.0964795008912656,0.088903743315508,0.0860071301247772
"Phytophthora.plurivora","GBM","yes",0.1765,0.7655,0.919,0.320659062103929,0.0680185889311365,0.534854245880862,0.0473172792564428,0.00971694127587664,0.00549218419940853,0.0139416983523447
"Phytophthora.plurivora","MARS","yes",0.2585,0.7705,0.921,0.292173252279635,0.165273556231003,0.438449848024316,0.0953647416413374,0,0,0.00873860182370821
"Phytophthora.plurivora","RF","no",0.256,0.653,0.845,0.158615136876006,0.154991948470209,0.162640901771337,0.149355877616747,0.109098228663446,0.140499194847021,0.124798711755233
"Phytophthora.plurivora","MAXENT.Phillips","yes",0.202,0.753,0.9215,0.18957654723127,0.160260586319218,0.417915309446254,0.0719869706840391,0.0762214983713355,0.0156351791530945,0.0684039087947883
"Phytophthora.plurivora","Ensemble","no",0.1915,0.776,0.924,0.267865935142613,0.141559105836513,0.469391934190985,0.0628152833140301,0.0245079956237986,0.00820098735092761,0.0256587585411325
