"","Method","predAll"
"1","Default",0.5
"2","Sens=Spec",0.53
"3","MaxSens+Spec",0.33
"4","MaxKappa",0.92
"5","MaxPCC",0.98
"6","PredPrev=Obs",0.92
"7","ObsPrev",0.00438072481083234
"8","MeanProb",0.131501592809393
"9","MinROCdist",0.46
"10","ReqSens",0.53
"11","ReqSpec",0.54
"12","Cost",0.98
