"Var1","Freq"
"Phytophthora ramorum",2113
"Phytophthora kernoviae",223
"Phytophthora pseudosyringae",42
"Phytophthora austrocedri",32
"Phytophthora citricola",16
"Phytophthora cactorum",14
"Phytophthora cinnamomi",12
"Phytophthora syringae",8
"Phytophthora lateralis",6
"Phytophthora alni",5
"Phytophthora cambivora",3
"Phytophthora plurivora",2
"Phytophthora primulae",2
"Phytophthora foliorum",1
"Phytophthora ilicis",1
