"","Method","predAll"
"1","Default",0.5
"2","Sens=Spec",0.45
"3","MaxSens+Spec",0.49
"4","MaxKappa",0.8
"5","MaxPCC",0.84
"6","PredPrev=Obs",0.77
"7","ObsPrev",0.0161837768704806
"8","MeanProb",0.141664641844935
"9","MinROCdist",0.47
"10","ReqSens",0.51
"11","ReqSpec",0.41
"12","Cost",0.84
