"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.x.alni","GLM","yes",0.415,0.725,0.9285,0.380694980694981,0.274903474903475,0.128571428571429,0.0471042471042471,0.0505791505791506,0.049034749034749,0.0691119691119691
"Phytophthora.x.alni","GAM","yes",0.393,0.766,0.935,0.338183108587651,0.251951738821859,0.202271114265436,0.0695528743789922,0.0340667139815472,0.0482611781405252,0.0557132718239886
"Phytophthora.x.alni","ANN","no",0.471,0.7395,0.9235,0.16580118694362,0.228857566765579,0.233123145400593,0.0350519287833828,0.145956973293769,0.072700296735905,0.118508902077151
"Phytophthora.x.alni","GBM","yes",0.625,0.8275,0.966,0.532502708559047,0.057421451787649,0.224268689057421,0.0173347778981582,0.0167930660888407,0.114842903575298,0.0368364030335861
"Phytophthora.x.alni","MARS","yes",0.467,0.7955,0.9405,0,0.292247386759582,0.308797909407665,0.251742160278746,0,0.0535714285714286,0.0936411149825784
"Phytophthora.x.alni","RF","yes",0.8345,0.8755,0.9685,0.14118769377534,0.176007631767231,0.172430240877653,0.146673026472693,0.116145957548295,0.151204388266158,0.0963510612926306
"Phytophthora.x.alni","MAXENT.Phillips","yes",0.677,0.776,0.936,0.339820821748533,0.197713932653692,0.18844609206055,0.0945319740500463,0.0676552363299351,0.0976212542477603,0.0142106889094841
"Phytophthora.x.alni","Ensemble","no",0.776,0.827,0.9715,0.286015926364869,0.205606923117315,0.204927474493295,0.10571871675103,0.0484414014256273,0.0877768051340361,0.0615127527138273
