"","Method","predAll"
"1","Default",0.5
"2","Sens=Spec",0.6
"3","MaxSens+Spec",0.59
"4","MaxKappa",0.92
"5","MaxPCC",0.92
"6","PredPrev=Obs",0.89
"7","ObsPrev",0.0160869779111527
"8","MeanProb",0.135727086868451
"9","MinROCdist",0.59
"10","ReqSens",0.66
"11","ReqSpec",0.39
"12","Cost",0.92
