"species","algorithm","selected","KAPPA","TSS","ROC","bio10","bio6","bio15","moisture","forest","urban_hort","agric"
"Phytophthora.cinnamomi","GLM","yes",0.739,0.851,0.96,0.181725196045005,0.219229457892942,0.52744630071599,0.00954653937947494,0.0565973406068871,0.00102284350494374,0.00443232185475622
"Phytophthora.cinnamomi","GAM","yes",0.7575,0.8575,0.9615,0.185901639344262,0.238032786885246,0.500983606557377,0.00721311475409836,0.0488524590163934,0.00229508196721311,0.0167213114754098
"Phytophthora.cinnamomi","ANN","yes",0.8305,0.9055,0.976,0.135434622014282,0.248953459738981,0.353607485840926,0.133218419108594,0.0465402610194533,0.055651317409505,0.026594434868259
"Phytophthora.cinnamomi","GBM","yes",0.836,0.8895,0.9825,0.0313444108761329,0.247356495468278,0.542673716012085,0.0033987915407855,0.171827794561934,0.000755287009063444,0.00264350453172205
"Phytophthora.cinnamomi","MARS","yes",0.77,0.879,0.9695,0.14418272662384,0.187723054960742,0.535331905781585,0.0349750178443969,0.0977872947894361,0,0
"Phytophthora.cinnamomi","RF","yes",0.912,0.9255,0.984,0.0829525483304042,0.245342706502636,0.406678383128295,0.0931458699472759,0.106502636203866,0.0228471001757469,0.042530755711775
"Phytophthora.cinnamomi","MAXENT.Phillips","no",0.77,0.722,0.8885,0.101604278074866,0.216577540106952,0.337384540593097,0.0979581915410793,0.196159455517744,0.0245503159941663,0.0257656781720953
"Phytophthora.cinnamomi","Ensemble","no",0.87,0.903,0.984,0.12586377194092,0.231386884723503,0.476316443504374,0.0480240010952076,0.0884629939724126,0.0141385756464045,0.0158073291171787
